V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
 4421, 2182,  126,40227,   73,39904,48068,  302, 6708,   62,   14
 4585, 2182,  127,42324,   74,40392,48680,  308, 6838,   62,   15
 4751, 2182,  132,43715,   82,40847,49192,  315, 6967,   78,   15
 4929, 2329,  132,45223,   84,41116,49468,  317, 7128,   78,   15
 5138, 2432,  136,46689,   86,41274,49727,  318, 7244,   84,   15
 5196, 2562,  139,48341,   91,41629,50199,  325, 7377,   84,   15
 5525, 2629,  145,50236,   95,41925,50639,  333, 7594,   87,   16
 5779, 2902,  152,51674,   99,42213,51104,  336, 7803,   92,   16
 5827, 2902,  156,52655,  100,42515,51515,  343, 7878,   92,   16
 5988, 3015,  157,53381,  103,42772,51863,  346, 8176,   95,   15
 6219, 3078,  161,55470,  103,42947,51988,  351, 8416,   96,   15
 6341, 3153,  164,56406,  104,43026,52181,  354, 8621,  101,   15
 6599, 3198,  170,58457,  104,43254,52598,  358, 8817,  110,   15
 6821, 3311,  175,59905,  106,43612,53004,  376, 9050,  110,   15
 7096, 3463,  176,61212,  106,44075,53368,  383, 9126,  112,   15
 7240, 3511,  181,62218,  106,44333,53706,  399, 9465,  112,   15
 7340, 3593,  185,63690,  107,44515,53969,  407, 9635,  112,   15
 7482, 3707,  188,64691,  108,44624,54144,  411, 9859,  115,   15
 7644, 3795,  194,66213,  108,44682,54285,  415,10095,  117,   15
 7835, 3984,  204,67551,  113,44869,54554,  421,10283,  134,   15
 7950, 4146,  212,68949,  114,45052,54887,  439,10526,  134,   15
 8177, 4315,  213,70417,  114,45330,55212,  450,10770,  134,   15
 8277, 4365,  219,72010,  114,45532,55552,  471,10921,  135,   15
 8379, 4365,  228,73097,  119,45797,55911,  476,10995,  135,   15
 8448, 4567,  234,73819,  119,45887,56056,  512,11281,  101,   15
 8627, 4567,  238,74521,  124,45988,56218,  529,11542,  101,   16
 8896, 4914,  247,75306,  125,46093,56379,  534,11770,  323,   16
 9112, 5034,  255,76266,  125,46379,56699,  555,12009,  323,   16
 9522, 5200,  256,77119,  128,46561,56947,  556,12220,  401,   16
 9815, 5246,  256,77925,  135,46679,57171,  617,12276,  401,   16
 9937, 5355,  266,78495,  138,46848,57343,  637,12664,  401,   16
10536, 5501,  270,79673,  139,46929,57448,  645,13027,  606,   16
11068, 5650,  271,80204,  143,46962,57534,  645,13268,  637,   17
11229, 5650,  277,80713,  148,47125,57790,  645,13603,  636,   17
12091, 5930,  291,81344,  148,47246,57977,  701,13940,  637,   17
12761, 6040,  305,81924,  149,47359,58114,  701,14423,  637,   17
13498, 6040,  312,82427,  153,47490,58248,  782,14586,  637,   17
14003, 6247,  320,82819,  156,47603,58383,  813,14918,  637,   17
14374, 6417,  327,83271,  157,47654,58445,  825,15238,  637,   18
15282, 6593,  345,83585,  157,47699,58500,  835,15552,  636,   18
16018, 6742,  357,83978,  159,47800,58618,  843,15864,  633,   18
17010, 6976,  372,84249,  160,47887,58740,  887,16188,  633,   19
17791, 7161,  385,84581,  163,47970,58842,  938,16568,  631,   19
18692, 7359,  393,84906,  163,48039,58962,  959,16778,  631,   19
19372, 7515,  423,85184,  164,48126,59088,  992,17282,  631,   21
20775, 7796,  433,85538,  164,48175,59145, 1026,17707,  630,   21
22272, 8014,  448,85858,  167,48206,59204, 1046,18157,  615,   21
23880, 8454,  462,86179,  167,48289,59310, 1088,18552,  614,   21
25999, 8714,  494,86551,  144,48373,59445, 1146,19739,  610,   21
28303, 8959,  513,86885,  148,48444,59560, 1183,20874,  650,   21
30136, 9156,  525,87177,  148,48509,59675, 1200,21053,  650,   21
31650, 9361,  549,87424,  150,48595,59773, 1247,23047,  650,   21
33883,10010,  569,87784,  152,48652,59825, 1257,24421,  604,   21
34992,10407,  600,88138,  155,48679,59886, 1278,25786,  604,   23
37135,10769,  642,88650,  160,48774,60002, 1312,27016,  604,   23
39626,11290,  679,89068,  168,48849,60102, 1369,28254,  604,   25
42374,11290,  686,89407,  168,48942,60209, 1429,29162,  607,   26
44962,11501,  695,89755,  175,49009,60294, 1472,29276,  607,   26
45178,11797,  721,90122,  183,49080,60392, 1544,30729,  607,   26
48592,12550,  750,90536,  188,49111,60463, 1609,31422,  611,   26
52266,12746,  754,90911,  195,49148,60528, 1663,32859,  613,   28
54757,13152,  767,91381,  202,49225,60665, 1767,34108,  610,   28
57929,13676,  798,91774,  204,49304,60798, 1798,35316,  610,   28
59829,13676,  815,92240,  204,49373,60922, 1835,35913,  610,   28
62296,14922,  823,92532,  211,49448,61055, 1892,36597,  610,   29
64915,15345,  849,92781,  215,49493,61133, 1955,37776,  610,   29
